ID;ALIMENTO;MEDIDA CASEIRA;PESO (g/ml);Kcal;CHO (g)
1;3 Corações®;;;;
2;Abacate;^{1} /_{4} unidade pequena;92;161;7
3;Abacate (picado);1 colher de sopa cheia;45;79;3
4;Abacaxi;1 fatia média;75;44;10
5;Abacaxi (polpa) congelada;1 saquinho;100;31;8
6;"Abacaxi com coco diet
Flormel®";1 tablete;25;113;19
7;Abacaxi em calda;1 fatia média;64;78;19
8;Abacaxi em caldas;1 fatia média;64;78;19
9;Abóbora cabotiá cozida;1 colher de sopa cheia;36;14;3
10;"Abóbora com coco diet
Flormel® cremoso";1 colher de sopa;20;36;7
11;"Abóbora com coco diet
Flormel® tablete";1 tablete;25;102;16
12;Abóbora-d’água cozida (picada);1 colher de sopa cheia;36;10;0
13;"Abóbora-moranga cozida
(picada)";1 colher de sopa cheia;36;7;1
14;"Abobrinha italiana cozida
(picada)";1 colher de sopa;20;3;0
15;Abobrinha italiana crua (picada);1 colher de sopa;20;4;1
16;"Abobrinha paulista crua
(picada)";1 colher de sopa;20;6;2
17;"Açaí (polpa) com xarope de
guaraná e glicose";1 pote médio;200;220;43
18;Açaí (polpa) congelada;1 pote pequeno;100;58;6
19;Açaí com xarope (suco);1 copo duplo;240;438;72
20;Açaí natural Frooty®;"6 colheres de sopa
rasas";60;62;13
21;Acelga (picada);1 colher de sopa cheia;6;2;0
22;Acerola;1 unidade pequena;12;4;1
23;Acerola (polpa) congelada;1 saquinho;100;22;6
24;Achocolatado (média);1 colher de sopa;16;113;14
25;Achocolatado (média);1 colher de sopa;16;113;14
26;Achocolatado Chocoki®;1 colher de sopa;8;13;5
27;Achocolatado diet Gold®;1 colher de sopa;5;16;3
28;Achocolatado diet Gold®;1 colher de sopa;5;16;3
29;Achocolatado diet Linea®;1 colher de sopa;12;30;5
30;Achocolatado diet Tal & Qual®;1 colher de sopa;5;15;3
31;Achocolatado diet Tal & Qual®;1 colher de sopa;5;15;3
32;Achocolatado light Nescau®;1 colher de sopa;9;32;7
33;Achocolatado light Nescau®;1 colher de sopa;9;32;7
34;Achocolatado light Taeq®;1 colher de sopa;10;34;7
35;Achocolatado light Taeq®;1 colher de sopa;10;34;7
36;Achocolatado light Toddy®;1 colher de sopa;10;37;8
37;Achocolatado light Toddy®;1 colher de sopa;10;37;8
38;Achocolatado Nescau®;1 colher de sopa;10;37;9
39;Achocolatado Nescau®;1 colher de sopa;10;37;9
40;Achocolatado Toddy®;1 colher de sopa;10;40;9
41;Achocolatado Toddy®;1 colher de sopa;10;40;9
42;Açúcar branco refinado;1 colher de sopa cheia;30;116;30
43;Açúcar cristal;1 colher de sopa;24;93;24
44;Açúcar light;1 colher de chá;4;16;4
45;Açúcar mascavo;1 colher de sopa rasa;11;41;11
46;Adoçante Tal e Qual® (em pó);1 colher de sopa;2;8;2
47;Agrião (picado);1 colher de sopa cheia;7;2;0
48;Agrião refogado;1 colher de sopa cheia;25;19;1
49;Água de coco Do Bem®;1 copo;200;43;11
50;Água de coco Kero coco®;1 copo;200;40;10
51;Água de coco Sococo®;1 copo;200;44;11
52;Água de coco verde;1 copo;200;36;8
53;Água tônica Antarctica®;1 copo;200;64;16
54;Água tônica zero Antarctica®;1 copo;200;0;0
55;Aguardente;1 dose;50;35;5
56;Aipim cozido (picado);1 colher de sopa cheia;37;44;22
57;Aipim frito;1 pedaço médio;70;211;35
58;Aipo cru (picado);1 colher de sopa rasa;10;2;0
59;Alcachofra cozida;1 pedaço médio;20;6;1
60;Alcaparra;1 colher de sopa cheia;27;10;1
61;Alface americana crua;1 folha média;10;1;0
62;Alface crua (média);1 prato de sobremesa;100;3;1
63;Alface lisa/crespa crua;1 folha média;10;1;0
64;Alface roxa crua;1 folha média;10;1;0
65;Alfajor Cacau Show®;1 unidade;40;120;23
66;Alfajor Havana Chocolate®;1 unidade;55;208;32
67;"Alfajor recheado com doce
de leite";1 unidade;25;98;15
68;Alfavaca crua;1 folha média;10;3;0
69;Algodão-doce;1 unidade;30;116;30
70;Algodão-doce Mavalério®;1 unidade;35;140;35
71;Alho;2 dentes pequenos;10;11;3
72;Alho-poró;1 colher de sopa cheia;20;11;3
73;All Bran Original Kellogg’s®;½ copo;40;104;18
74;Almeirão cru (picado);1 colher de sopa cheia;6;1;0
75;Almeirão refogado;1 colher de sopa cheia;30;20;2
76;Almôndega de peru;"1 unidade
pequena";25;45;6
77;"Almôndega de
carne frita";"1 unidade
pequena";30;82;5
78;"Almôndega de
frango crua";"1 unidade
pequena";45;90;6
79;Amaranto cru;1 colher de sopa cheia;25;91;16
80;Amaranto cru;"1 colher
de sopa
cheia";25;91;4
81;Ambrosia;1 colher de sopa;40;58;10
82;Ameixa com coco diet Flormel®;1 tablete;25;86;17
83;Ameixa em calda;1 unidade média;7;20;5
84;Ameixa preta;1 unidade média;42;18;4
85;Ameixa preta seca;1 unidade média;5;12;3
86;Ameixa vermelha;1 unidade média;42;23;5
87;Amêndoa;10 unidades;30;130;10
88;Amendocrem®;1 colher de sopa;20;122;6
89;Amendoim;1 colher de sopa cheia;19;111;4
90;Amendoim caramelizado;1 pacote pequeno;20;95;14
91;Amendoim japonês Yoki®;1 colher de sopa;15;75;5
92;Amendoim torrado;1 colher de sopa cheia;19;118;3
93;Amido de arroz;1 colher de sopa cheia;20;69;17
94;Amido de milho;1 colher de sopa cheia;20;72;18
95;Amora (diversas);1 unidade média;8;5;1
96;Angu;1 colher de sopa;35;44;9
97;Arroz à grega;1 colher de servir;60;75;18
98;Arroz basmatti cozido;1 colher de sopa cheia;25;27;6
99;Arroz branco cozido;1 colher de sopa cheia;25;26;5
100;Arroz branco cozido;1 colher de servir;45;58;13
101;"Arroz branco cozido
(instantâneo)";1 colher de sopa cheia;25;28;6
102;Arroz carreteiro;1 colher de servir;45;70;5
103;Arroz com amêndoas;1 colher de servir;60;75;18
104;Arroz com lentilha;1 colher de servir;45;71;12
105;Arroz com linguiça;1 colher de sopa cheia;60;116;12
106;Arroz com passas;1 colher de sopa cheia;25;37;8
107;Arroz com pequi;1 colher de sopa cheia;60;97;17
108;Arroz doce;1 colher de sopa;30;51;10
109;Arroz doce diet;1 colher de sopa;30;41;6
110;Arroz frito;1 colher de sopa cheia;25;48;6
111;Arroz integral com brócolis;1 colher de sopa cheia;25;26;5
112;Arroz integral cozido;1 colher de sopa cheia;20;25;5
113;Arroz integral cozido;1 colher de servir;50;54;12
114;Arroz parboilizado;1 colher de sopa cheia;28;35;7
115;Arroz piamontese;1 colher de servir rasa;40;72;8
116;Arroz preto cozido;1 colher de sopa cheia;25;88;18
117;Arroz Ráris Fit® (média);^{1} /_{4} xícara de chá;45;158;32
118;Arroz selvagem cozido;1 colher de sopa cheia;25;28;5
119;Arroz sírio;1 colher de servir;45;69;13
120;Arroz vermelho cozido;1 colher de sopa cheia;25;30;6
121;Arroz-doce;1 colher de sopa;30;51;10
122;Arroz-doce diet;1 colher de sopa;30;41;6
123;"Artesanal Bourbon Bacon
(Bob’s®)";1 unidade pequena;271;470;26
124;Aspargos (conserva);1 unidade média;7;2;0
125;"Atum em água
(drenado)";1 lata;120;98;24
126;"Atum em óleo
(drenado)";1 lata;120;203;31
127;Atum fresco cru;"1 filé
grande";100;118;26
128;Australiano Artesanal (Bob’s®);1 unidade pequena;340;758;47
129;Australiano M (Bob’s®);1 unidade média;404;1016;46
130;Avelã;1 unidade;1;6;0
131;Azeite de dendê;"1 colher de
sopa";8;72;0
132;Azeite de oliva;"1 colher de
sopa";8;72;0
133;Azeitona preta;1 unidade;3;7;0
134;Azeitona preta;1 unidade;3;7;0
135;Azeitona verde;1 unidade;4;12;0
136;Azeitona verde;1 unidade;4;12;0
137;Baba de moça;1 colher de sopa cheia;30;150;27
138;"Bacalhau
dessalgado cru";1 porção;100;127;29
139;Bacon;"1 fatia
pequena";10;89;3
140;"Bacon Baked
Potato®";1 concha;20;92;3
141;"Bacon Smokehouse
(McDonald’s®)";1 unidade;;978;75
142;Baconzitos®;1 pacote pequeno;55;286;31
143;Bagel gergelim Wickbol®;1 unidade;40;121;21
144;Bagel multigrãos Wickbold®;1 unidade;40;117;20
145;Bala “de latinha” diet Gold®;1 bala;2;0;2
146;Bala Chita®;1 unidade;5;20;5
147;Bala Dadinho®;1 unidade;6;31;4
148;Bala de caramelo (média);1 unidade;5;20;4
149;Bala de goma;1 unidade;3;11;3
150;Bala de jenipapo;1 unidade;9;25;6
151;Bala de maçã Lilith®;1 unidade;5;21;5
152;Bala Delícia;1 unidade;5;20;4
153;Bala Frumelo – Lacta®;1 unidade;4;17;3
154;Bala gelatina Fini® (ursinhos);1 unidade;2;8;2
155;Bala Halls®;1 unidade;3;13;3
156;Bala Icekiss®;1 unidade;4;16;4
157;Bala Jujuba;1 unidade;3;12;3
158;Bala Marshmallow Fini®;1 unidade;6;19;4
159;Bala Mentex®;1 unidade;3;11;3
160;Bala Mentos®;1 unidade;3;11;2
161;Bala Toffees®;1 unidade;7;29;4
162;Bala Yogurte Dori®;1 unidade;5;19;4
163;Bala zero Dadinho®;1 unidade;6;29;3
164;Banana (média);"1 unidade média
(sem casca)";55;51;13
165;Banana à milanesa;1 unidade média;100;185;24
166;Banana caramelada;1 unidade média;100;229;59
167;Banana-caturra;"1 unidade média
(sem casca)";86;79;20
168;Bananada;1 unidade média;40;115;27
169;Bananada diet;1 unidade média;40;102;24
170;Banana-da-terra crua;"1 unidade grande
(sem casca)";100;117;27
171;Banana-maçã;"1 unidade média
(sem casca)";65;72;15
172;Banana-nanica;"1 unidade média
(sem casca)";70;64;17
173;Banana-prata;"1 unidade média
(sem casca)";50;49;13
174;Bananinha diet Paraibuna®;1 tablete;23;68;16
175;Bananinha Paraibuna®;1 tablete;36;114;27
176;Banha de porco;"1 colher de
sobremesa";21;189;0
177;"Barra de biscoito integral
morango Nutry®";1 barra;20;83;13
178;Barra de cereal (média);1 unidade;25;97;18
179;"Barra de cereal banana com
chocolate zero Trio®";1 barra;22;78;13
180;Barra de cereal diet (média);1 unidade;25;67;15
181;"Barra de cereal laranja com
chocolate Taeq®";1 unidade;25;81;16
182;Barra de cereal light (média);1 unidade;25;75;16
183;"Barra de granola crocante
Nature Valley®";1 barra;21;96;13
184;"Barra de granola salgada
GranPure®";1 unidade;15;67;7
185;"Barra de mixed nuts original
Agtal®";1 unidade;30;155;8
186;Batata baroa cozida;1 colher de sopa cheia;35;28;7
187;Batata baroa frita;1 colher de sopa cheia;25;57;7
188;Batata doce assada;1 colher de sopa rasa;30;43;11
189;Batata doce cozida;1 colher de sopa rasa;30;27;6
190;Batata doce frita;1 fatia média;65;249;39
191;"Batata Frita grande
(Burguer King®)";1 unidade;142;389;46
192;"Batata Frita média
(Burguer King®)";1 unidade;116;318;37
193;"Batata Frita pequena
(Burguer King®)";1 unidade;74;203;24
194;"Batata Furiosa grande
(Burguer King®)";1 unidade;354;247;118
195;"Batata Furiosa média
(Burguer King®)";1 unidade;184;604;61
196;Batata inglesa cozida;1 colher de sopa cheia;30;16;4
197;Batata inglesa frita;"1 colher de servir
cheia";50;140;18
198;Batata inglesa frita (chips);1 colher de servir rasa;15;81;7
199;Batata inglesa sauté;1 colher de sopa rasa;25;37;4
200;Batata palha (média);1 xícara de chá;25;139;11
201;"Batata Suprema grande
(Burguer King®)";1 unidade;368;604;59
202;"Batata Suprema média
(Burguer King®)";1 unidade;221;368;36
203;Batata Yacon;1 colher de sopa cheia;25;8;2
204;"Batida de fruta com com leite
condensado";1 taça;100;256;26
205;Beijinho;1 unidade pequena;10;42;5
206;Beijinho diet;1 unidade pequena;6;20;2
207;Beijinho Moça fiesta Nestlé®;1 unidade média;15;52;8
208;Beiju;1 unidade média;100;359;87
209;Beiju com côco;1 unidade grande;125;622;77
210;Beiju de queijo com manteiga;1 unidade média;150;518;87
211;"Beirute de Frango Crocante
(Habib’s®)";1 unidade;553;1269;84
212;Beirute de Rosbife (Habib’s®);1 unidade;418;919;56
213;Beirute Habidão (Habib’s®);1 unidade;585;1584;47
214;Bem casado;1 unidade;40;160;25
215;Berinjela cozida (picada);1 colher de sopa cheia;25;9;2
216;Berinjela frita;1 rodela média;13;10;1
217;Bertalha;1 colher de sopa cheia;14;6;1
218;Beterraba cozida (picada);1 colher de sopa cheia;20;9;2
219;Beterraba crua (ralada);1 colher de sopa cheia;16;7;1
220;Bib’s Cheese Salada (Habib’s®);1 unidade;220;601;30
221;Bib’s Chicken Crispy (Habib’s®);1 unidade;230;529;33
222;Bib’s Picanha Bacon (Habib’s®);1 unidade;285;1251;28
223;"Bib’sfiha de Calabresa com
Muçarela (Habib’s®)";1 unidade;70;115;9
224;Bib’sfiha de Carne (Habib’s®);1 unidade;75;171;20
225;Bib’sfiha de Cordeiro (Habib’s®);1 unidade;70;97;8
226;"Bib’sfiha de Espinafre e
Philadelphia (Habib’s®)";1 unidade;80;158;19
227;Bib’sfiha de Frango (Habib’s®);1 unidade;75;152;19
228;Bib’sfiha de Picanha (Habib’s®);1 unidade;70;89;8
229;Bib’sfiha de Queijo (Habib’s®);1 unidade;70;184;18
230;Bib’sfiha Italiana (Habib’s®);1 unidade;72;128;9
231;"Bib’sfiha Pepperoni com
Mussarela e Philadelphia®
(Habib’s®)";1 unidade;80;181;9
232;"Bib’sfiha Quatro Queijos e
Philadelphia (Habib’s®)";1 unidade;80;177;8
233;Bife à milanesa;1 unidade;100;283;21
234;Bife à parmegiana;1 unidade;150;490;35
235;"Bife de boi
grelhado";"1 unidade
média";100;225;36
236;"Bife de fígado
grelhado";"1 unidade
média";100;225;30
237;"Bife de fígado
grelhado";"1 unidade
média";100;225;30
238;Bife frito;1 unidade;100;297;26
239;Big Apple com refrigerante;1 copo;200;205;28
240;Big Apple com refrigerante zero;1 copo;200;125;10
241;Big Bob (Bob’s®);1 unidade média;243;540;37
242;Big Bob Artesanal (Bob’s®);1 unidade pequena;247;570;34
243;Big Bob Picanha (Bob’s®);1 unidade pequena;255;564;36
244;Big King (Burguer King®);1 unidade;312;806;148
245;Big Mac (McDonald’s®);1 unidade;;502;45
246;Big Tasty (McDonald’s®);1 unidade;;837;41
247;Biscoitão de polvilho;1 unidade pequena;20;110;14
248;Biscoito água;1 unidade;5;23;3
249;Biscoito água e sal;1 unidade;8;34;5
250;Biscoito amanteigado;1 unidade;4;26;3
251;"Biscoito ao leite com aveia
Belvita®";1 pacotinho;30;138;20
252;Biscoito bichinhos Piraquê®;1 unidade;1;5;1
253;Biscoito centeio Nesfit;1 unidade;4;17;2
254;Biscoito champanhe;1 unidade;8;32;6
255;Biscoito cream cracker®;1 unidade;7;29;5
256;Biscoito de arroz Fit Food®;1 pacote;30;109;23
257;Biscoito de farinha integral;1 unidade;10;40;7
258;Biscoito de leite diet;1 unidade pequena;3;12;2
259;Biscoito de leite Nestlé®;1 unidade;8;38;5
260;Biscoito de maisena;1 unidade;5;22;4
261;Biscoito de milho verde Nestlé®;1 unidade;6;27;4
262;Biscoito de polvilho (rosquinha);1 unidade;3;13;2
263;Biscoito de queijo;1 unidade;12;51;6
264;"Biscoito de tapioca Fhom®
(média)";22 unidades pequenas;30;114;27
265;Biscoito frito salgado;3 unidades;50;214;26
266;"Biscoito grãos da terra aveia e
passas Aymoré®";1 unidade;15;80;12
267;"Biscoito integral 3 cereais
Nestlé®";1 pacote;21;92;14
268;Biscoito integral Club Social®;1 biscoito;9;39;6
269;Biscoito maisena Nestlé®;1 unidade;5;22;4
270;Biscoito Maria®;1 unidade;6;26;4
271;"Biscoito Passatempo®
(sem recheio)";1 unidade;6;22;4
272;Biscoito recheado (média);1 unidade;13;58;8
273;"Biscoito recheado de chocolate
(média)";1 unidade;13;62;9
274;Biscoito recheado diet (média);1 unidade pequena;10;37;8
275;"Biscoito salgado integral
gergelim Piraquê®";1 unidade;7;38;5
276;Biscoito Salpet®;1 unidade;2,5;12;2
277;"Biscoito tipo Club Social®
(média)";1 pacotinho;28;134;18
278;Biscoito tipo cookies (média);1 unidade;10;47;7
279;Biscoito tipo cookies diet (média);1 unidade;10;43;7
280;Biscoito tipo sequilhos (média);1 unidade pequena;3;13;2
281;Biscoito tipo waffer (média);1 unidade;8;40;5
282;Biscoito tipo waffer diet (média);1 unidade;7;39;4
283;"Biscoito trigo e flocos de arroz
Club Social®";1 biscoito;9;39;6
284;"Biscoito waffer chocolate
Lowçucar®";1 unidade;8;39;3
285;Bisnaguinha (média);1 unidade;20;60;11
286;"Bisnaguinha mini Scooby-Doo
Wickbold®";1 unidade;8;28;5
287;"Bisnaguinha Scooby-Doo
Wickbold®";1 unidade;18;51;10
288;Bisnaguinha Seven Boys®;1 unidade;20;62;11
289;BK Chicken (Burguer King®);1 unidade;19;47;3
290;Blanquet de peru;"1 fatia
pequena";10;9;2
291;Bloody Mary;1 taça;100;123;5
292;Bob’s Artesanal (Bob’s®);1 unidade pequena;330;709;34
293;Bob’s Australiano (Bob’s®);1 unidade pequena;288;717;44
294;Bob’s Burger®;1 unidade pequena;165;339;28
295;Bob’s Crispy (Bob’s®);1 unidade pequena;206;544;40
296;Bolinha de queijo;1 unidade pequena;10;27;3
297;Bolinha de queijo;1 unidade pequena;20;55;7
298;Bolinho de Bacalhau (Habib’s®);1 unidade;40;78;6
299;Bolinho de chuva;1 unidade pequena;20;54;8
300;Bolinho de Chuva;1 unidade pequena;30;81;13
301;Bolinho de chuva salgado;1 unidade;8;21;3
302;Bolinho de chuva salgado;1 unidade;8;21;3
303;Bolo alemão;1 fatia;60;227;30
304;Bolo branco simples;1 fatia grande;100;318;55
305;"Bolo de abacaxi zero adição de
açúcar Suavipan®";1 fatia média;40;145;20
306;Bolo de aipim;1 fatia média;40;130;19
307;Bolo de aipim com coco;1 fatia grande;100;303;46
308;Bolo de arroz;1 fatia grande;100;281;55
309;Bolo de banana;1 fatia grande;100;301;47
310;Bolo de batata-doce;1 fatia grande;90;324;48
311;"Bolo de caneca chocolate zero
Vitao®";1 unidade;55;175;39
312;"Bolo de caneca integral Vitalin®
(média)";1 unidade;70;265;56
313;Bolo de cenoura;1 fatia média;60;227;38
314;"Bolo de cenoura com chocolate
Dr. Otcker®";1 fatia média;60;227;38
315;Bolo de chocolate;1 fatia média;40;164;22
316;Bolo de coco;1 fatia média;40;133;21
317;"Bolo de festa (recheio/
cobertura)";1 fatia grande;100;320;54
318;"Bolo de festa diet (recheio/
cobertura)";1 fatia grande;100;275;25
319;Bolo de fubá;1 fátia média;50;160;20
320;Bolo de milho;1 fatia média;40;124;18
321;Bolo de pote Casa de Bolos®;1 fatia;60;166;22
322;Bolo Petit Gateau;1 unidade;60;245;25
323;Bolo Petit Gateau light;1 unidade media;94;344;21
324;Bolo recheado light Suavipan®;1 unidade;40;117;18
325;Bolo simples de trigo;1 fatia média;60;203;36
326;Bolo simples sem cobertura;1 fatia média;40;143;21
327;Bolo simples sem cobertura diet;1 fatia média;40;103;14
328;Bomba de chocolate;1 unidade;80;125;10
329;Bombom Alpino®;1 unidade;13;70;8
330;Bombom Amandita Lacta®;1 unidade;8;40;5
331;Bombom Chokito®;1 unidade;32;140;25
332;"Bombom de Chocolate Belga
Amedoim Haoma®";1 unidade;20;106;7
333;"Bombom de Chocolate Belga
Avelâ Haoma®";1 unidade;20;90;7
334;"Bombom de Cookies e Cream
Haoma®";1 unidade;20;90;9
335;"Bombom diet recheado Cacau
Show®";1 unidade;13;58;7
336;Bombom Ferrero Rocher®;1 unidade;13;75;6
337;"Bombom Garoto Caribe®
(banana)";1 unidade;17;65;12
338;Bombom Garoto It Coco®;1 unidade;17;80;11
339;Bombom Garoto Opereta®;1 unidade;12;67;8
340;Bombom Kinder Ovo®;1 unidade;20;110;10
341;Bombom Lacta Laka®;1 unidade;20;108;12
342;Bombom Nestlé Charge®;1 unidade;40;187;24
343;Bombom Nestlé Galak®;1 pedaço;25;138;14
344;Bombom Nestlé Kit Kat®;1 unidade;42;218;23
345;Bombom Nestlé Prestígio®;1 unidade;33;154;21
346;Bombom Ouro Branco®;1 unidade;22;112;14
347;Bombom Sonho de Valsa®;1 unidade;22;115;13
348;Bombom Trufa de Cereja®;1 unidade;10;45;6
349;Brigadeiro;1 unidade pequena;10;36;6
350;Brigadeiro diet;1 unidade pequena;23;62;7
351;Brigadeiro diet de colher Hué®;1 colher de sopa;20;86;5
352;Brioche ou rosca;1 fatia média;25;88;12
353;Broa de amendoim;1 pedaço;50;138;18
354;Broa de fubá;1 pedaço;10;39;5
355;Broa de fubá/milho;1 fatia média;60;154;30
356;Brócolis cozido (picado);1 colher de sopa cheia;10;4;0
357;Broto de feijão cru;1 pires cheio;100;44;8
358;Broto de feijão cru;1 colher de sopa cheia;35;16;8
359;Brownie chocolate diet (média);1 unidade;40;107;15
360;Burger Vegano Fit (Madero®);1 unidade;370;637;85
361;"Burger Vegano Junior Fit
(Madero®)";1 unidade;300;506;73
362;Cacau;1 porção;100;74;19
363;Cacau em pó (média);1 colher de sopa;10;31;5
364;"Cachorro quente(pão/salsicha/
molhos/milho/batata)";1 unidade;120;203;27
365;Café com açúcar;1 xícara de chá;200;80;20
366;"Café com leite meio a meio
(com açúcar)";"1 xícara de chá/
1 copo";200;117;19
367;"Café com leite meio a meio
(sem açúcar)";"1 xícara de chá/
1 copo";200;88;7
368;Café sem açúcar;1 xícara de chá;200;10;0
369;Café solúvel (pó);1 colher de sopa cheia;4;6;1
370;Caipirinha (com açúcar);1 dose;200;187;33
371;Caipirinha (sem açúcar);1 dose;200;85;21
372;Cajá (polpa) congelada;1 saquinho;100;40;10
373;Cajá-manga;1 unidade grande;55;38;9
374;Caju;1 unidade grande;120;55;14
375;Caju (polpa) congelada;1 saquinho;100;46;12
376;Cajuzinho;1 unidade pequena;12;44;6
377;Calda de caramelo;1 colher de sopa;10;31;7
378;Calda de chocolate;1 colher de sopa;10;31;5
379;Calda de morango;1 colher de sopa;10;25;7
380;Caldo de cana;1 copo;200;130;36
381;Caldo de feijão;1 concha média;130;98;13
382;Camarão frito;4 unidades;20;37;4
383;Camil®;;;;
384;Cana-de-açúcar (caldo);1 copo duplo;240;201;49
385;Canelone à bolonhesa;1 unidade média;45;76;5
386;Canelone de frango;1 unidade média;45;87;9
387;"Canelone de peito de peru,
queijo e brócolis";1 unidade média;45;62;6
388;"Canelone de ricota com
espinafre";1 unidade média;45;75;5
389;Canjica doce;1 concha média;120;126;23
390;Canjica doce diet;1 concha média;120;86;13
391;Canudinho de doce de leite;1 unidade;25;89;14
392;Capeletti de carne;1 escumadeira;50;141;25
393;Capeletti de frango;1 escumadeira;50;140;25
394;Capeletti de presunto;1 escumadeira;50;143;25
395;Cappuccino diet em pó (média);2 colheres de sopa;14;64;6
396;"Cappuccino em pó tradicional
(média)";2 colheres de sopa;20;81;15
397;Cappuccino pronto Classic Café;1 unidade;187;187;28
398;"Cappuccino pronto Light Café 3
Corações®";1 unidade;187;119;12
399;Cappuccino tradicional em pó;2 colheres de sopa;14;49;8
400;Caqui;1 unidade média;110;95;22
401;Cará cozido (picado);1 colher de sopa cheia;35;28;7
402;Cará refogado;1 colher de sopa cheia;27;31;5
403;Carambola;1 unidade grande;100;46;11
404;Caramelo diet Hué®;1 unidade;6;23;4
405;"Carne de porco
lombo assado";1 porção;100;210;0
406;"Carne de porco
pernil assado";1 porção;100;260;0
407;Carne vegetal (soja);1 pedaço;50;36;4
408;Carpaccio de carne;"1 fatia
média";30;86;0
409;"Carpaccio de
Salmão Damm®";1 porção;100;142;0
410;Castanha-de-caju;10 unidades;30;130;10
411;Castanha-do-Pará;3 unidades;18;126;3
412;Castanha-portuguesa (cozida);1 unidade média;10;21;5
413;Caviar;1 porção;100;252;4
414;Cebola (picada);1 colher de sopa cheia;10;4;1
415;Cebolinha crua (picada);1 colher de sopa cheia;8;2;0
416;Cenoura cozida (picada);1 colher de sopa cheia;25;8;2
417;Cenoura crua (ralada);1 colher de sopa cheia;12;4;1
418;Cereais diet (média);3 / _{4} xícara de chá;40;90;17
419;"Cereal matinal chocolate
Vitalin®";^{3} /_{4} xícara de chá;30;121;24
420;"Cereal matinal de aveia com
Nuts Nutry®";½ xícara de chá;40;163;23
421;"Cereal matinal de milho com
açúcar";1 xícara de chá;40;151;36
422;"Cereal matinal de milho sem
açúcar";1 xícara de chá;40;146;33
423;Cereal matinal tradicional;3 / _{4} xícara de chá;30;115;26
424;Cereal Nesfit®;^{3} /_{4} xícara de chá;30;110;23
425;Cereal Neston®;2 colheres de sopa;23;80;18
426;Cereja (conserva);1 unidade;5;8;2
427;Cereja fresca;1 unidade média;4;4;1
428;Cerveja;1 lata;335;137;12
429;Cerveja Bock® preta;1 lata;335;174;13
430;Cerveja Cerpa®;1 copo duplo;240;100;9
431;Cerveja Heineken®;1 lata;350;147;11
432;Cerveja Pilsen (média);1 lata;350;142;12
433;Cerveja Puro Malte (média);1 lata;350;140;11
434;Cerveja sem álcool;1 lata;335;89;15
435;Cerveja Trigo (média);1 copo;200;125;13
436;Cevada torrada e moída Yoki®;½ xícara de chá;50;176;40
437;Chá de limão Nestea light®;1 copo;240;0;0
438;Chá sem açúcar (média);1 xícara de chá;200;2;0
439;Chá-mate com açúcar (infusão);1 copo;240;9;2
440;Champagne;1 taça;100;85;12
441;Champignon (conserva);1 colher de sopa;10;2;0
442;"Chandelle®
chocolate";1 potinho;90;132;20
443;Chantilly;1 colher de sopa;25;69;3
444;Chá-preto sem açúcar (infusão);1 copo;200;1;0
445;Cheddar (Bob’s®);1 unidade média;208;415;27
446;Cheddar (Burguer King®);1 unidade;136;321;28
447;Cheddar Duplo (Burguer King®);1 unidade;181;410;28
448;"Cheddar Mc Melt®
(McDonald’s®)";1 unidade;;468;30
449;Cheddar Triplo (Burguer King®);1 unidade;260;659;32
450;Cheese Chicken Fit (Madero®);1 unidade;330;424;38
451;Cheeseburger (Bob’s®);1 unidade pequena;122;336;27
452;Cheeseburger (Burguer King®);1 unidade;136;339;31
453;Cheeseburger (McDonald’s®);1 unidade;;302;32
454;"Cheeseburger Bacon (Burguer
King®)";1 unidade;145;379;31
455;Cheeseburger Madero Fit®;1 unidade;300;370;36
456;"Cheeseburger Madero
Menos Sal®";1 unidade;360;470;38
457;"Cheeseburger Vegetariano
Junior Fit (Madero®)";1 unidade;315;573;72
458;"Cheeserbuger Vegetariano Fit
(Madero®)";1 unidade;400;732;88
459;Cheetos®;1 pacote pequeno;55;275;37
460;Chicken Crisp (Burguer King®);1 unidade;276;667;68
461;"Chicken Crisp Barbecue Bacon
(Burguer King®)";1 unidade;350;600;56
462;Chicken Jr. (Burguer King®);1 unidade;162;513;55
463;"Chicken Sandwich
(Burguer King®)";1 unidade;210;609;53
464;"Chicken Supreme Crispy
(McDonald’s®)";1 unidade;;526;43
465;"Chicken Supreme Grill
(McDonald’s®)";1 unidade;;454;30
466;Chiclete Bubbaloo®;1 unidade;6;20;5
467;Chiclete de hortelã;1 unidade;4;13;3
468;Chiclete Trident®;1 unidade;2;3;1
469;Chicória crua;1 xícara de chá;30;3;1
470;Chicória crua;1 prato de sobremesa;100;14;3
471;Chicória refogada;1 colher de sopa cheia;45;39;3
472;Chicória refogada;1 colher de servir cheia;45;39;3
473;Chimarrão;1 cuia média;200;12;0
474;"Chips de batata doce Fhom®
(média)";1 xícara de chá;25;138;17
475;"Chips de mandioquinha Fhom®
(média)";1 xícara de chá;25;143;16
476;Chocolate ao leite (média);1 barra pequena;30;160;18
477;Chocolate ao leite diet (média);1 barra pequena;30;157;13
478;Chocolate Batom®;1 unidade;16;88;10
479;"Chocolate Bis diet
(Mais Um Svili®)";1 unidade;7;26;5
480;Chocolate Bis®;1 unidade;7;33;4
481;Chocolate com castanha (média);1 barra pequena;30;168;16
482;Chocolate Diamante Negro®;1 barra pequena;30;156;19
483;Chocolate diet Talento ®;1 barrinha;25;129;12
